kosk_id,tarih,ilce,trafo_gerilimi_kV,akim_A,sicaklik_C,nem_orani,topraklama_direnci,koruma_rölesi_durumu,kapi_acik,ariza_var,anomali_skoru
BK001,2025-03-15,Of,0.407,68.5,44.7,56.3,2.2,0,0,0,0.06
BK001,2025-03-08,Yomra,0.406,90.2,35.4,63.4,2.27,0,0,0,0.04
BK001,2025-03-03,Dernekpazarı,0.399,93.3,30.3,67.0,2.22,0,0,0,0.04
BK001,2025-03-01,Araklı,0.42,96.2,31.7,79.4,2.28,0,0,0,0.16
BK001,2025-03-08,Yomra,0.414,119.3,28.7,66.2,1.49,0,0,0,0.08
BK001,2025-03-01,Arsin,0.369,95.4,23.5,59.0,2.08,0,0,0,0.07
BK001,2025-03-23,Akçaabat,0.394,93.2,29.9,53.4,1.23,0,0,0,0.36
BK001,2025-03-08,Arsin,0.395,105.9,29.1,70.5,1.98,0,0,0,0.07
BK001,2025-03-29,Akçaabat,0.428,122.7,33.9,59.0,1.21,0,0,0,0.06
BK001,2025-03-28,Dernekpazarı,0.403,85.9,37.0,64.2,1.71,0,1,0,0.15
BK001,2025-03-03,Çaykara,0.401,107.5,23.5,76.5,1.85,1,0,1,0.27
BK001,2025-03-08,Beşikdüzü,0.436,87.6,31.2,57.2,3.11,0,0,0,0.05
BK001,2025-03-22,Tonya,0.397,118.4,38.1,49.6,2.13,0,0,0,0.18
BK001,2025-03-07,Araklı,0.371,71.3,34.9,76.0,2.15,0,0,0,0.12
BK001,2025-03-05,Tonya,0.38,91.2,29.0,57.4,2.02,0,0,0,0.25
BK001,2025-03-08,Tonya,0.377,81.5,33.5,84.5,1.87,0,0,0,0.31
BK001,2025-03-26,Köprübaşı,0.382,86.3,30.4,80.8,1.85,0,0,0,0.15
BK001,2025-03-07,Of,0.401,111.7,30.4,77.3,1.63,0,0,0,0.14
BK001,2025-03-04,Köprübaşı,0.419,83.9,25.6,58.0,1.88,1,0,1,0.13
BK001,2025-03-12,Köprübaşı,0.417,100.5,31.3,65.0,1.81,1,0,1,0.15
BK001,2025-03-14,Şalpazarı,0.394,108.5,33.0,59.9,1.88,0,0,0,0.04
BK001,2025-03-28,Akçaabat,0.395,103.0,42.3,62.0,1.67,0,0,0,0.24
BK001,2025-03-22,Of,0.396,107.6,30.3,47.0,1.68,0,0,0,0.22
BK001,2025-03-02,Hayrat,0.381,106.3,26.6,64.4,1.72,0,0,0,0.12
BK001,2025-03-24,Dernekpazarı,0.403,77.0,34.6,70.0,3.14,0,0,0,0.1
BK001,2025-03-26,Of,0.424,95.3,34.4,72.6,1.99,0,0,0,0.15
BK001,2025-03-08,Maçka,0.408,85.1,29.8,45.4,3.03,0,0,0,0.05
BK001,2025-03-07,Araklı,0.354,93.3,25.6,42.2,2.14,1,0,1,0.2
BK001,2025-03-15,Sürmene,0.437,98.7,34.6,79.1,2.61,0,0,0,0.09
BK001,2025-03-14,Vakfıkebir,0.402,125.8,28.9,65.9,2.12,0,0,0,0.16
BK001,2025-03-09,Şalpazarı,0.381,110.2,35.8,60.5,1.78,0,0,0,0.06
BK001,2025-03-08,Arsin,0.412,119.7,23.7,60.0,2.14,0,0,0,0.09
BK001,2025-03-15,Araklı,0.419,121.8,39.0,72.5,2.3,0,0,0,0.22
BK001,2025-03-04,Akçaabat,0.365,70.8,32.9,66.5,1.76,0,0,0,0.09
BK001,2025-03-21,Araklı,0.388,112.6,25.9,77.1,1.93,0,0,0,0.05
BK001,2025-03-27,Ortahisar,0.398,98.7,34.1,70.8,2.02,0,0,0,0.04
BK001,2025-03-03,Yomra,0.452,127.2,33.1,68.3,2.45,0,0,0,0.12
BK001,2025-03-06,Köprübaşı,0.426,93.7,31.3,51.0,2.36,0,0,0,0.32
BK001,2025-03-16,Tonya,0.4,78.3,24.5,60.5,1.59,0,1,0,0.15
BK001,2025-03-07,Hayrat,0.366,121.9,38.4,57.5,2.58,0,0,0,0.11
BK001,2025-03-29,Akçaabat,0.404,127.9,39.4,81.3,2.48,0,0,0,0.1
BK001,2025-03-06,Hayrat,0.422,90.3,34.7,71.8,0.61,0,0,0,0.24
BK001,2025-03-01,Hayrat,0.398,102.8,32.9,83.6,1.46,0,0,0,0.29
BK001,2025-03-09,Şalpazarı,0.375,105.2,22.9,53.3,1.74,0,0,0,0.26
BK001,2025-03-10,Köprübaşı,0.368,94.5,32.0,63.1,2.7,0,0,0,0.19
BK001,2025-03-23,Araklı,0.418,111.7,31.8,54.0,2.2,0,1,0,0.1
BK001,2025-03-22,Tonya,0.396,105.3,28.9,56.6,1.54,0,0,0,0.1
BK001,2025-03-05,Maçka,0.402,83.0,21.2,54.7,2.12,0,0,0,0.24
BK001,2025-03-10,Maçka,0.389,83.3,32.8,51.7,3.21,1,0,1,0.09
BK001,2025-03-31,Akçaabat,0.413,93.3,35.1,91.6,1.85,0,0,0,0.22
BK001,2025-03-19,Araklı,0.342,93.3,40.1,82.7,1.48,0,0,0,0.3
BK001,2025-03-02,Dernekpazarı,0.387,109.0,26.5,59.9,2.58,0,0,0,0.09
BK001,2025-03-02,Akçaabat,0.369,99.1,26.3,65.8,2.44,0,0,0,0.23
BK001,2025-03-19,Tonya,0.363,103.0,31.8,78.7,2.59,0,0,0,0.18
BK001,2025-03-17,Çaykara,0.383,112.5,27.9,62.3,2.24,1,0,1,0.11
BK001,2025-03-06,Akçaabat,0.396,82.6,26.3,67.0,2.1,0,1,0,0.23
BK001,2025-03-31,Çaykara,0.409,82.2,28.7,65.3,1.87,0,0,0,0.07
BK001,2025-03-03,Vakfıkebir,0.436,105.3,28.5,45.4,1.92,0,0,0,0.37
BK001,2025-03-03,Arsin,0.39,91.5,27.9,58.4,0.99,0,0,0,0.03
BK001,2025-03-22,Yomra,0.401,102.0,31.9,57.1,2.6,0,0,0,0.05
BK001,2025-03-13,Of,0.391,120.6,35.1,45.6,2.06,0,0,0,0.36
BK001,2025-03-31,Yomra,0.414,110.0,23.9,73.3,2.14,0,0,0,0.16
BK001,2025-03-19,Akçaabat,0.398,103.8,29.7,63.1,1.53,0,0,0,0.11
BK001,2025-03-20,Arsin,0.404,104.8,34.4,59.7,2.33,0,0,0,0.12
BK001,2025-03-14,Çaykara,0.393,71.7,28.5,48.9,2.39,0,0,0,0.15
BK001,2025-03-11,Beşikdüzü,0.415,90.3,30.4,60.3,1.63,0,0,0,0.12
BK001,2025-03-07,Dernekpazarı,0.41,109.8,43.4,46.9,1.66,0,0,0,0.23
BK001,2025-03-08,Beşikdüzü,0.424,126.2,24.9,72.8,1.52,0,0,0,0.15
BK001,2025-03-13,Sürmene,0.411,134.4,30.5,63.9,1.91,0,0,0,0.23
BK001,2025-03-22,Çarşıbaşı,0.382,90.0,29.0,65.1,2.54,0,0,0,0.1
BK001,2025-03-15,Dernekpazarı,0.413,86.7,31.3,66.0,0.92,0,0,0,0.13
BK001,2025-03-30,Arsin,0.417,97.3,33.9,80.3,2.46,1,0,1,0.11
BK001,2025-03-01,Şalpazarı,0.403,102.2,26.9,57.9,2.17,0,0,0,0.08
BK001,2025-03-20,Of,0.41,97.5,36.1,76.6,2.59,0,0,0,0.02
BK001,2025-03-03,Araklı,0.406,100.9,26.3,48.0,1.68,0,0,0,0.02
BK001,2025-03-07,Çaykara,0.409,112.7,39.2,57.5,1.53,0,0,0,0.05
BK001,2025-03-09,Sürmene,0.405,72.7,26.5,46.6,2.59,0,0,0,0.04
BK001,2025-03-30,Düzköy,0.381,93.5,30.2,63.4,1.29,0,0,0,0.23
BK001,2025-03-29,Arsin,0.432,128.4,27.7,64.5,1.43,0,0,0,0.12
BK001,2025-03-29,Yomra,0.378,94.6,21.0,61.5,1.95,0,0,0,0.17
BK001,2025-03-12,Çarşıbaşı,0.409,107.9,19.8,66.8,1.41,0,0,0,0.09
BK001,2025-03-06,Şalpazarı,0.375,87.0,30.3,69.9,2.48,0,0,0,0.03
BK001,2025-03-27,Araklı,0.422,129.4,23.9,70.0,1.77,0,0,0,0.13
BK001,2025-03-23,Çarşıbaşı,0.435,104.6,28.0,67.7,1.83,0,0,0,0.19
BK001,2025-03-20,Çaykara,0.365,118.9,25.5,58.5,1.7,0,0,0,0.23
BK001,2025-03-01,Araklı,0.393,108.3,30.4,63.0,1.92,0,0,0,0.21
BK001,2025-03-10,Of,0.392,114.3,35.5,60.9,1.63,0,0,0,0.09
BK001,2025-03-31,Sürmene,0.389,112.8,32.6,72.2,2.21,0,0,0,0.09
BK001,2025-03-09,Of,0.421,87.7,29.9,48.6,1.18,0,0,0,0.16
BK001,2025-03-29,Of,0.401,109.1,27.7,62.8,2.73,0,0,0,0.23
BK001,2025-03-24,Araklı,0.385,113.1,26.9,63.5,2.35,1,0,1,0.04
BK001,2025-03-05,Beşikdüzü,0.367,118.0,25.7,68.4,2.0,0,0,0,0.24
BK001,2025-03-10,Maçka,0.39,112.7,32.8,67.4,2.68,0,0,0,0.06
BK001,2025-03-23,Dernekpazarı,0.407,85.8,26.9,65.2,2.48,0,0,0,0.05
BK001,2025-03-07,Beşikdüzü,0.383,95.9,26.1,72.3,1.76,0,0,0,0.1
BK001,2025-03-17,Tonya,0.399,129.7,37.8,51.7,2.26,0,1,0,0.08
BK001,2025-03-09,Akçaabat,0.404,103.0,28.6,60.6,2.07,0,1,0,0.22
BK001,2025-03-03,Köprübaşı,0.372,93.2,37.3,68.3,2.15,0,0,0,0.26
BK001,2025-03-27,Beşikdüzü,0.369,112.3,31.9,56.0,1.57,0,0,0,0.26
BK001,2025-03-02,Ortahisar,0.397,91.8,29.2,65.4,1.5,0,0,0,0.17
BK001,2025-03-11,Sürmene,0.448,111.8,29.9,62.4,2.01,0,0,0,0.2
BK001,2025-03-21,Beşikdüzü,0.431,110.1,33.0,61.5,1.71,0,0,0,0.11
BK001,2025-03-06,Şalpazarı,0.403,100.8,30.9,67.4,1.89,0,0,0,0.37
BK001,2025-03-18,Köprübaşı,0.384,97.4,38.3,65.2,2.12,1,0,1,0.06
BK001,2025-03-18,Ortahisar,0.426,108.4,24.4,67.5,2.25,0,0,0,0.23
BK001,2025-03-04,Arsin,0.395,114.8,29.6,61.8,2.08,0,0,0,0.04
BK001,2025-03-31,Sürmene,0.368,102.8,40.1,65.1,1.9,0,0,0,0.13
BK001,2025-03-18,Akçaabat,0.398,78.6,28.7,60.7,2.29,1,0,1,0.03
BK001,2025-03-27,Düzköy,0.404,90.1,32.1,65.2,1.68,0,0,0,0.14
BK001,2025-03-19,Araklı,0.424,122.3,31.8,61.9,2.0,0,0,0,0.04
BK001,2025-03-05,Köprübaşı,0.391,104.0,27.8,64.3,3.05,0,0,0,0.18
BK001,2025-03-05,Akçaabat,0.368,72.0,35.0,58.2,2.4,0,0,0,0.04
BK001,2025-03-10,Düzköy,0.4,85.7,28.0,71.9,2.05,0,0,0,0.26
BK001,2025-03-29,Akçaabat,0.419,97.2,34.6,63.7,2.76,0,0,0,0.05
BK001,2025-03-29,Düzköy,0.348,103.0,32.2,69.0,2.62,0,0,0,0.06
BK001,2025-03-07,Yomra,0.421,92.4,29.6,68.5,1.76,0,0,0,0.09
BK001,2025-03-22,Of,0.378,83.7,33.4,53.5,2.33,0,0,0,0.16
BK001,2025-03-12,Araklı,0.412,111.8,28.7,59.0,2.71,0,0,0,0.19
BK001,2025-03-29,Köprübaşı,0.408,121.0,33.3,50.0,2.53,0,0,0,0.14
BK001,2025-03-20,Sürmene,0.403,108.0,34.4,61.8,2.9,1,0,1,0.2
BK001,2025-03-30,Yomra,0.389,83.5,32.2,72.8,2.23,1,0,1,0.31
BK001,2025-03-28,Vakfıkebir,0.389,95.6,29.6,49.8,1.82,0,0,0,0.2
BK001,2025-03-26,Vakfıkebir,0.414,106.3,32.5,59.7,0.92,0,0,0,0.35
BK001,2025-03-29,Köprübaşı,0.38,115.9,33.1,71.8,1.32,0,0,0,0.11
BK001,2025-03-01,Vakfıkebir,0.379,79.7,22.4,76.1,1.69,0,0,0,0.22
BK001,2025-03-24,Dernekpazarı,0.387,97.7,27.3,66.6,2.25,0,0,0,0.17
BK001,2025-03-26,Köprübaşı,0.381,85.6,31.7,64.5,2.02,0,1,0,0.05
BK001,2025-03-26,Yomra,0.388,72.3,25.4,50.0,1.67,0,0,0,0.1
BK001,2025-03-09,Vakfıkebir,0.386,102.7,27.3,62.3,2.84,0,0,0,0.23
BK001,2025-03-26,Of,0.42,83.2,25.4,75.2,2.14,1,0,1,0.19
BK001,2025-03-13,Akçaabat,0.421,117.5,28.9,64.6,1.23,0,1,0,0.22
BK001,2025-03-28,Tonya,0.408,99.6,29.1,67.3,1.82,1,0,1,0.18
BK001,2025-03-08,Maçka,0.435,120.7,23.5,71.9,1.75,0,0,0,0.21
BK001,2025-03-27,Şalpazarı,0.383,99.0,26.4,71.8,2.74,0,0,0,0.18
BK001,2025-03-12,Çarşıbaşı,0.41,81.4,34.3,73.9,1.62,0,0,0,0.25
BK001,2025-03-27,Yomra,0.406,104.6,33.6,62.7,2.73,0,0,0,0.06
BK001,2025-03-08,Ortahisar,0.389,112.9,28.1,64.5,2.01,0,0,0,0.19
BK001,2025-03-22,Maçka,0.386,92.6,32.7,54.6,2.07,0,0,0,0.22
BK001,2025-03-13,Dernekpazarı,0.383,67.8,32.7,75.5,1.77,0,0,0,0.09
BK001,2025-03-09,Arsin,0.421,67.9,23.0,65.1,2.21,0,0,0,0.15
BK001,2025-03-31,Beşikdüzü,0.377,85.2,32.7,54.6,2.37,0,0,0,0.1
BK001,2025-03-12,Çaykara,0.394,106.4,26.1,62.1,2.05,0,0,0,0.06
BK001,2025-03-13,Araklı,0.389,101.7,32.2,44.1,2.71,0,0,0,0.21
BK001,2025-03-11,Ortahisar,0.42,96.4,32.7,87.2,2.13,0,0,0,0.1
BK001,2025-03-04,Beşikdüzü,0.413,98.0,30.9,38.2,2.13,0,0,0,0.18
BK001,2025-03-06,Beşikdüzü,0.378,112.6,36.2,66.3,2.18,0,0,0,0.26
BK001,2025-03-02,Of,0.396,98.6,35.1,63.2,1.65,0,0,0,0.09
BK001,2025-03-20,Köprübaşı,0.404,91.6,29.0,58.4,1.85,1,0,1,0.34
BK001,2025-03-12,Dernekpazarı,0.376,97.2,26.9,82.6,1.86,0,0,0,0.07
BK001,2025-03-14,Çaykara,0.405,122.7,37.0,69.1,2.38,0,0,0,0.15
BK001,2025-03-04,Hayrat,0.414,102.3,29.4,68.6,2.11,0,0,0,0.21
BK001,2025-03-29,Maçka,0.398,81.7,25.1,74.3,1.68,0,0,0,0.06
BK001,2025-03-09,Akçaabat,0.418,103.3,27.6,76.6,1.79,0,0,0,0.32
BK001,2025-03-23,Köprübaşı,0.372,116.6,25.9,58.9,1.49,0,0,0,0.19
BK001,2025-03-01,Çaykara,0.413,85.8,37.2,60.4,1.97,0,0,0,0.1
BK001,2025-03-30,Araklı,0.375,117.5,33.4,62.1,1.77,0,0,0,0.18
BK001,2025-03-22,Maçka,0.412,98.5,27.5,77.1,1.7,0,0,0,0.04
BK001,2025-03-12,Köprübaşı,0.427,109.4,35.4,85.2,2.48,0,0,0,0.2
BK001,2025-03-03,Dernekpazarı,0.431,79.7,27.2,72.0,2.08,1,0,1,0.12
BK001,2025-03-20,Dernekpazarı,0.411,91.1,30.6,84.5,1.75,0,0,0,0.37
BK001,2025-03-22,Of,0.385,92.7,36.2,81.9,2.28,0,0,0,0.06
BK001,2025-03-24,Çarşıbaşı,0.427,106.2,32.3,65.4,2.28,0,0,0,0.23
BK001,2025-03-17,Çarşıbaşı,0.435,123.6,27.7,63.5,1.96,0,0,0,0.1
BK001,2025-03-22,Köprübaşı,0.416,109.4,26.0,74.0,1.68,1,0,1,0.14
BK001,2025-03-11,Hayrat,0.39,97.1,29.0,57.5,1.91,0,0,0,0.06
BK001,2025-03-23,Çarşıbaşı,0.391,82.0,24.8,60.1,1.82,0,0,0,0.1
BK001,2025-03-18,Sürmene,0.392,86.1,29.8,56.5,2.29,0,0,0,0.04
BK001,2025-03-07,Köprübaşı,0.4,98.6,21.1,64.2,1.58,0,0,0,0.16
BK001,2025-03-22,Hayrat,0.437,112.2,32.4,68.7,2.2,0,1,0,0.06
BK001,2025-03-22,Vakfıkebir,0.334,78.0,27.9,75.4,1.86,0,0,0,0.28
BK001,2025-03-20,Çarşıbaşı,0.394,103.9,23.7,61.5,3.34,0,0,0,0.01
BK001,2025-03-13,Araklı,0.374,104.4,25.5,57.8,2.22,0,0,0,0.15
BK001,2025-03-27,Ortahisar,0.404,92.0,36.0,66.2,1.58,0,0,0,0.26
BK001,2025-03-10,Çarşıbaşı,0.393,108.1,31.5,68.8,2.68,0,0,0,0.22
BK001,2025-03-07,Köprübaşı,0.382,90.2,26.3,64.3,2.44,0,0,0,0.2
BK001,2025-03-26,Dernekpazarı,0.423,94.5,27.0,53.9,3.21,1,0,1,0.3
BK001,2025-03-15,Şalpazarı,0.434,76.7,28.5,67.5,1.55,0,0,0,0.32
BK001,2025-03-15,Maçka,0.407,93.3,33.8,53.8,2.37,0,0,0,0.15
BK001,2025-03-17,Tonya,0.426,89.5,24.0,70.1,2.1,0,0,0,0.04
BK001,2025-03-26,Vakfıkebir,0.407,108.0,25.2,55.2,2.5,0,1,0,0.3
